,Minimum wage,Annual,Annual,Workweek (hours)[4],Hourly,Hourly,Percent of GDP per capita[5],Effective per
,Minimum wage,Nominal (US$)[6],PPP (Int$)[7],Workweek (hours)[4],Nominal (US$)[8],PPP (Int$)[9],Percent of GDP per capita[5],Effective per
Country,,,,,,,,
"('Afghanistan',)","؋5,500 (US$70) per month for non-permanent private sector (Afs. 66,000 per annum). The minimum wage for permanent government workers was ؋6,000 (US$76.3) per month (Afs. 72,000 per annum). There was no minimum wage for permanent workers in the private sector.[10]",858.0,3272.0,40,0.41,1.57,168.3%,2017
"('Albania',)","L39,086.94 (US$471) per month (480,000 lek per annum). The law establishes a 40-hour workweek, but the actual workweek is typically set by individual or collective-bargaining agreement.[10][11][12][13]",4637.0,8697.0,40,2.23,4.18,75.4%,1 Apr 2023
"('Algeria',)","د.ج 20,832.45 (US$156.19) per month, nationally (DA 240,000 per annum).[14][15]",1777.0,6247.0,40,0.85,3.0,41.6%,1 May 2020
"('Andorra',)",€7.7 (US$8.33) hourly.[16],18253.0,13493.0,40,8,6.0,28%,1 Jan 2023
"('Angola',)","Kz 32,181 (US$61) per month; paid thirteen times a year (Kz. 418,353 per annum)[17][18]",663.0,3161.0,44,0.29,1.38,49%,2022
"('Antigua and Barbuda',)",EC$8.2 per hour (US$3.03).[10][19][20],6317.0,7788.0,40,3.04,3.74,34.4%,1 Nov 2014
"('Armenia',)","֏ 75,000 (US$190) per month.[10][21]",1787.0,4567.0,40,0.86,2.2,51.7%,15 Nov 2022
"('Australia',)","Most workers are covered by an award, which may vary by employee age, geographical location and industry. Workers receive mandatory employer loadings such as penalty rates or leave loading. Minimum wages are set federally by the Fair Work Commission. For those 21 and older, not covered by an award or other instrument, (as of July 1, 2024) - the minimum wage is $A 915.90 (US$622.17) per week, or $A 24.10 (US$16.37) per hour.[22] Casual workers are paid a loading of typically 25%, resulting in a minimum of A$28 (US$18) per hour for those workers. Workers under 21, apprentices and trainees not covered by an award, have minimum wages set at a percentage of the ordinary rate.[23] For those under 16, this is 36.8% or A$7.87 (US$5.25) per hour; $A 9.83 (US$6.56) with the casual loading.[24]",35810.0,29767.0,38,18.12,15.06,64.7%,1 July 2024
"('Austria',)","None: National collective bargaining agreements set minimum wages by job classification for each industry and provide for a minimum wage of €1,200 (US$1419) per month[dubious – discuss]. Wages where no such collective agreements exist, such as for domestic workers, janitorial staff and au pairs, are regulated by relevant legislation and are generally lower than those covered by collective bargaining. The national minimum wage legislation has lapsed, although is still in force by convention.[25][10]",,,40,,,,2017
"('Azerbaijan',)",₼345 (US$203) per month.,2435.0,11829.0,40,1.17,5.69,68.5%,5 Jan 2023[26]
"('The Bahamas',)","B$5.25 (US$5.25) per hour, B$42 (US$42) per day, and B$210 (US$210) per week.[10][27][28]",10920.0,9579.0,40,5.25,4.61,42.5%,15 Aug 2015
"('Bahrain',)",None; .د.ب 300 (US$800) for the public sector workers (only applies to Bahraini nationals).[10],,,48,,,,2017
"('Bangladesh',)","৳1,500 (US$13) per month for all economic sectors not covered by industry-specific wages; in the garment industry the minimum wage raised to ৳8,000 (US$67) per month since 1 Dec 2018,[29] rising to ৳12,500 (US$106.40) per month on 1 Dec 2023.[30] The minimum wage is set nationally every five years by the National Minimum Wage Board in a tripartite forum industry by industry.[10][18][31][32][33]",212.0,564.0,48,0.08,0.23,15.8%,1 Dec 2013
"('Barbados',)",Bds$ 10.5 (US$5.25) per hour for general minimum wage rates. Bds$ 11.43 (US$5.71) per hour for security guards. [34],10920.0,8878.0,40,5.25,4.27,49.1%,1 June 2025
"('Belarus',)",Br 554 (US$122) per month.[35],0.0,1.0,40,0,0.0,0%,1 Jan 2023
"('Belgium',)","€2,029.88 (US$2401) per month.[36][18][37]",28809.0,27680.0,38,14.58,14.01,59.6%,1 April 2024
"('Belize',)",BZ$5 (US$2.48) per hour.[10][38][39],5850.0,10263.0,45,2.5,4.39,121.3%,22 July 2022
"('Benin',)","CFA 52,000 (US$86.12) per month;[40] the government set minimum wage scales for a number of occupations.[18][41]",865.0,2149.0,40,0.42,1.03,99.1%,1 Jan 2023
"('Bhutan',)","Nu. 3,750 per month.[10][42][43]",609.0,2020.0,40,0.29,0.97,22.7%,1 Feb 2014
"('Bolivia',)","Bs. 2,500 (US$362) per month.[44] plus an obligatory Christmas bonus equal to one month's pay, prorated for the amount of time the worker has worked in their present position. Plus a second Christmas Bonus if the government decries the economy grew enough, plus an extra month paid in May if the company made a profit for the previous year.[45][46]",4703.0,9448.0,48,1.88,3.79,130.6%,1 May 2024
"('Bosnia and Herzegovina',)",KM 543 (US$269) net per month.[47],3949.0,8044.0,40,1.9,3.87,66.1%,2022
"('Botswana',)","P 7.34 (US$0.62) an hour for most full-time labour in the private sector; P 1,786 (US$152) per month.[48]",1933.0,4051.0,48,0.77,1.62,23.9%,2022
"('Brazil',)","R$1,518 per month (US$265.04), paid 13 times a year.[49] The Brazilian minimum wage is adjusted annually by the federal government, but each Brazilian state has the option to either follow the national minimum wage or to set its own minimum wage, which cannot be lower than the federal minimum wage. In 2022, five states (RS, SC, PR, SP and RJ) decided to stick with the latter option in order to have higher state minimum wages.[50]",3661.0,9011.0,44,1.6,3.94,59.6%,1 Jan 2025
"('Brunei',)",None[10],,,,,,,2017
"('Bulgaria',)","лв. 1,077 (€550) per month, лв. 6.49 (€3.32) per hour.[36][51][52]",8181.0,17999.0,40,3.93,8.65,93.5%,1 Jan 2025
"('Burkina Faso',)","CFA 34,664 (US$59) per month.[10][53]",750.0,1905.0,40,0.36,0.92,107.6%,1 Apr 2012
"('Burundi',)","None; in the past the government set the minimum wage, but during the year the minimum wage was set by market forces.[10][41]",,,40,,,,2017
"('Cambodia',)","៛ 818,800 (US$200) per month, for the textile and shoe industries.[54][10][18][55]",,,48,,,,3 Oct 2023
"('Cameroon',)","CFA 36,270 (US$62) per month.[10][56]",785.0,1819.0,40,0.38,0.87,50.4%,30 July 2014
